leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,oMe8xpXahTZEVIElT6SN80BTa2UPkvWs3-gbleXZ8wx7Ox0,frosty,1908,214,151,True,False,False,False,dobcFjMdScI2VsSaqr8SIIc-4gLafx-qmdEwP45Qm-hOPkVIhEP7Wwvq9rNFxZ9NZyNSoA1Xo0qoAQ
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,iWs_XHNMQHNf0ofFqWOiirYcxh1r90yVgZZ1IDw_dH8sj-i_pkLQEg4I0g,FURIA Ayu,1906,149,95,True,False,False,False,IzjFQWI5jxL8gV_hY6mJ2KGPIpYGTmwtu67B-FPNsLFw5R0bPf5iwohdgRioveL3F__1bOTgALy00A
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,1IHjZOFkFSBMwBzKnrzfIUKK74RuoPg4SiRIfNurHId4Re0,Hugatin,1736,141,92,True,False,False,False,rjZxZQEkXegwcdkuqQ8bqdb67U-AILObjLaEwUicnGVLmI2Ppp7kLNXO4Y7446L5eIS5k9IeG7s3yw
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,XfCU7vQVC3EE8LN-vOiVqVJUBqYYyzVcg7sfj9L8UAGWz3k,Tutsz,1721,213,165,True,False,False,False,Q6H4ALKdhPtAuY5mbYnb8sGJH3cs5SL3_ayZNnqVS5OT_MRteqo2P3bCGv8KX6gBh7c08sm1_r2dCQ
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,1gBJyh-HulsRlX8wy3GnqFJB8bH5bAknq9rVSJpZ2pES7ZVVUHTSW5OKuA,Bvoy3,1640,142,85,True,False,False,False,pYfSgpPZ-aWEgVwoqT6SViee40u0Mw9Uz4Sg0M0SY8O3JdYIfCJcUa3bYb2ZvYB5nfKHHOZxT9MXgA
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,FFaiOj12ma3a6RGPxO2u6BJfR1w03R1Mst6A3vTmi0nWLQ,RED Morttheus,1612,189,147,True,False,False,False,6WPik2mVbEO5PKTtBIb8YtTs7S2cTZCbSjv4Awc30vxvq1Rd7N-FIE8cigmI5noNj9ASBMgYFHCfTw
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,9OstOpBEhBWHhXt0pZFzfmTCxd-obePr0wepZ5dKxaSs,TitaN,1530,189,142,True,False,False,False,Yaqf3VZHn0L7lL5BEHjHRkWl7kR5zEAZQGbwMC8jl6qCMBkjfnZypbPGH-S72o5oiNGzvA-cQvZB7Q
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,RXIVtZ9UE-M3DWGHbDF9MW4rm4v_ERKgwGx37QfHE6ZR2A,fu09nfn8yu0f0e,1524,204,143,True,False,False,False,8Trqxbm6QqrH4bfusEhLv773ObWfj284_OR0-3T5uOZjZ7sSJB3j2y74lFHAv_f6f8rbUMRnYSPHfA
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,hh2qSzNblGXKZcqLATzMLiPx3f10zjl8KY1pgNE0QdWpAu0,scuro,1506,223,185,True,False,False,False,eVewsT5xIoG4nhN73CzNbtq3mkORhsKQ8paLtyyB2LH9KN5lGskpe_4mHi-EZ7yzBlIsUd-1EpMN2A
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,fkr22dIySBk1-a58THpziiETytLNb8aWF2rUT1fLR9ZlaII,ASTROTHUNDER8,1506,137,90,True,False,False,False,IrZzGazd7VyZLNi5h8vX99Z6cxlg4zQM-nB-17Ap51uzEAYySBj1LeM1tsln42p7rhgs3K5D4yCYEQ
